Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
part1.csv:/search/vaccin,10,2,00:00:56,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine and pregnancy,10,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Vaccine Combination,10,2,00:02:29,1,0.00%,20.00%,$0.00
part1.csv:/search/Aloxistatin,9,2,00:00:26,0,0.00%,0.00%,$0.00
part1.csv:/search/aspirin,9,1,00:01:57,0,0.00%,0.00%,$0.00
part1.csv:/search/asymptomatic proportion,9,2,00:01:12,0,0.00%,0.00%,$0.00
part1.csv:/search/cardiovascular,9,2,00:00:12,0,0.00%,11.11%,$0.00
part1.csv:/search/chronic fatigue,9,3,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/church,9,1,00:01:22,0,0.00%,0.00%,$0.00
part1.csv:/search/cleavage,9,3,00:00:12,1,0.00%,11.11%,$0.00
part1.csv:/search/Covid 19,9,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/COVID vacccine AND eye,9,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/cytology,9,3,00:00:17,1,0.00%,0.00%,$0.00
part1.csv:/search/delirium,9,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/diabetes,9,4,00:00:04,1,0.00%,22.22%,$0.00
part1.csv:/search/direct,9,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/DPP4,9,1,00:01:04,0,0.00%,0.00%,$0.00
part1.csv:/search/ebselen,9,1,00:01:28,0,0.00%,0.00%,$0.00
part1.csv:/search/exercise,9,1,00:00:04,0,0.00%,11.11%,$0.00
part1.csv:/search/Fluvoxamin,9,2,00:02:47,0,0.00%,0.00%,$0.00
part1.csv:/search/gastroparesis,9,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Guillain-Barre syndrome,9,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/hearing loss,9,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/hepa filter,9,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/HEPA Filter,9,2,00:00:17,0,0.00%,0.00%,$0.00
part1.csv:/search/Homoharringtonine,9,3,00:00:22,0,0.00%,0.00%,$0.00
part1.csv:/search/immunmodulation,9,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/importance of vaccine,9,4,00:00:00,3,0.00%,44.44%,$0.00
part1.csv:/search/joachimiak,9,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/learning loss,9,2,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid syndrome in children,9,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Ly6e,9,2,00:00:01,1,0.00%,22.22%,$0.00
part1.csv:/search/metabolomics,9,2,00:00:15,0,0.00%,0.00%,$0.00
part1.csv:/search/mink,9,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/moral dilemma,9,2,00:00:51,0,0.00%,0.00%,$0.00
part1.csv:/search/mrna,9,1,00:00:16,0,0.00%,0.00%,$0.00
part1.csv:/search/mutant,9,3,00:00:06,1,0.00%,0.00%,$0.00
part1.csv:/search/Nicolai,9,1,00:00:04,0,0.00%,11.11%,$0.00
part1.csv:/search/novavax,9,2,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/nursing homes,9,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/OC43,9,4,00:00:00,3,0.00%,44.44%,$0.00
part1.csv:/search/pregnant,9,2,00:00:42,0,0.00%,0.00%,$0.00
part1.csv:/search/readmission,9,2,00:00:07,1,0.00%,11.11%,$0.00
part1.csv:/search/role of mitochondria,9,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Six-helix,9,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/staff support,9,3,00:04:16,2,0.00%,11.11%,$0.00
part1.csv:/search/Thimerosal,9,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/thrombosis,9,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/uk delta deaths,9,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Vaccinated infection,9,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/vacunas,9,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Viral load vaccinated,9,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Wastewater simulation,9,2,00:00:02,1,0.00%,11.11%,$0.00
part1.csv:/search/antibody titer,8,2,00:00:15,0,0.00%,0.00%,$0.00
part1.csv:/search/antiparasitic,8,2,00:00:43,0,0.00%,12.50%,$0.00
part1.csv:/search/Antiparasitic,8,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/arn vaccines and adolescents,8,1,00:02:21,0,0.00%,0.00%,$0.00
part1.csv:/search/Arthritis after covid19 vaccination,8,1,00:00:03,0,0.00%,12.50%,$0.00
part1.csv:/search/autism,8,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Autonomic,8,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/autonomic dysfunction,8,2,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/Biomarker,8,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/blood transmission,8,2,00:00:02,0,0.00%,12.50%,$0.00
part1.csv:/search/brain,8,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/breakthrough infections,8,2,00:00:17,0,0.00%,0.00%,$0.00
part1.csv:/search/camel,8,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Children vaccine safety,8,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Combination vaccines,8,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/coronacentral,8,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/COVID VACCINE,8,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/data ethics,8,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/defining long covid,8,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Dr. Simone,8,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/dust mites,8,2,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/ebselen clinical trials,8,1,00:03:31,0,0.00%,12.50%,$0.00
part1.csv:/search/Epirubicin,8,2,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/Fatigue,8,2,00:00:06,0,0.00%,12.50%,$0.00
part1.csv:/search/forsdyke,8,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Harringtonine,8,3,00:02:48,0,0.00%,0.00%,$0.00
part1.csv:/search/homeless*,8,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/hydro,8,2,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/infection fatality rate,8,2,00:00:02,0,0.00%,12.50%,$0.00
part1.csv:/search/lomvardas,8,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/masks,8,2,00:00:16,0,0.00%,12.50%,$0.00
part1.csv:/search/microbiota,8,2,00:00:07,0,0.00%,12.50%,$0.00
part1.csv:/search/mix vaccine,8,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Mixing vaccine,8,1,00:00:32,0,0.00%,0.00%,$0.00
part1.csv:/search/Model,8,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/moderna young people,8,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/new variants,8,2,00:00:07,0,0.00%,12.50%,$0.00
part1.csv:/search/nmr,8,2,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/Non pharmacological treatment for covid,8,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/olfaction,8,2,00:00:02,0,0.00%,12.50%,$0.00
part1.csv:/search/Parkkila,8,1,00:00:03,0,0.00%,12.50%,$0.00
part1.csv:/search/pericarditis,8,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/pfizer vaccine,8,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/pocus,8,2,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/Podophyllotoxin,8,3,00:00:05,1,0.00%,12.50%,$0.00
part1.csv:/search/population mental health,8,2,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/post exposure prophylaxis,8,2,00:00:29,0,0.00%,0.00%,$0.00
part1.csv:/search/psychiatry,8,3,00:00:22,1,0.00%,12.50%,$0.00
part1.csv:/search/replication organelle,8,3,00:00:16,1,0.00%,0.00%,$0.00
part1.csv:/search/sars-cov-2 in breast cancer,8,2,00:00:06,0,0.00%,12.50%,$0.00
part1.csv:/search/sharing misinformation,8,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Subtype,8,4,00:00:00,3,0.00%,50.00%,$0.00
part1.csv:/search/Thailand,8,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/TRADE OFF,8,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccination protective threshold,8,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine and immunodeficiency,8,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine cardiac failure,8,3,00:00:33,2,0.00%,37.50%,$0.00
part1.csv:/search/Vaccine covid lymphnode,8,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine effectiveness transmission,8,2,00:00:02,0,0.00%,12.50%,$0.00
part1.csv:/search/Vaccine fertility,8,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Vermont,8,2,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/ADE,7,2,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/adenopathy vaccine,7,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/arn vaccines sars cov2 and adolescents,7,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/asymptomatic infection,7,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/autonomic,7,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/bnt162,7,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/bnt162 duration,7,1,00:00:02,0,0.00%,14.29%,$0.00
part1.csv:/search/Bruce,7,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/C-FLIP,7,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/C-FLIP T-cell,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/c.1059C>T,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/carcinoma ductal in situ,7,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Cell-free nucleus acid,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/COVID Delta symptoms,7,1,<00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/ctcf,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Daily reported case count,7,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Delta aerosol transmission,7,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/Delta variant,7,3,00:00:02,1,0.00%,28.57%,$0.00
part1.csv:/search/ethical OR ethics,7,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/fatigue,7,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/GDI2,7,1,00:01:09,0,0.00%,14.29%,$0.00
part1.csv:/search/gemcitabine,7,2,00:03:50,0,0.00%,0.00%,$0.00
part1.csv:/search/Gemcitabine,7,3,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/Guillain-Barre,7,2,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/Heap filter,7,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/herpes simplex,7,2,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/heterologous COVID-19 homologous vaccination,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Hherb,7,2,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/hormonal changes,7,2,00:00:02,0,0.00%,14.29%,$0.00
part1.csv:/search/host factor,7,2,00:00:20,0,0.00%,14.29%,$0.00
part1.csv:/search/hypertension vaccination,7,1,00:03:00,0,0.00%,0.00%,$0.00
part1.csv:/search/I une response,7,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/immunity from having covid and one vaccination dose,7,3,00:00:00,2,0.00%,42.86%,$0.00
part1.csv:/search/interferon,7,2,00:00:06,0,0.00%,14.29%,$0.00
part1.csv:/search/long covid and equity,7,1,00:01:09,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid pediatrics,7,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Long Covid vaccine,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/lophomonas,7,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Marek Grabowski,7,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/methotrexate,7,2,00:00:10,0,0.00%,28.57%,$0.00
part1.csv:/search/myocarditis,7,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/nsp 3,7,2,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/Nsp3,7,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/origin of,7,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/PCS ENT,7,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/pediatric long-haul,7,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/polyneuritis,7,2,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/protozoan,7,2,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/ptsd,7,1,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/Rapid antigen,7,1,00:01:11,0,0.00%,0.00%,$0.00
part1.csv:/search/Rapid Antigen test,7,1,00:00:02,0,0.00%,14.29%,$0.00
part1.csv:/search/Rapid response,7,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/raveendran,7,1,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/reaction adverse,7,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/religion,7,2,00:00:13,0,0.00%,0.00%,$0.00
part1.csv:/search/Reoccurence,7,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/ReOccurence,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/sander,7,2,00:00:03,0,0.00%,14.29%,$0.00
part1.csv:/search/SARS neutralization,7,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Secretory leukocyte protease inhibitor,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/short message service,7,1,00:00:01,0,0.00%,14.29%,$0.00
part1.csv:/search/T cell,7,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/thailand,7,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/Tonin mirco,7,2,00:00:02,1,0.00%,28.57%,$0.00
part1.csv:/search/trauma,7,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Treatment of covid 19,7,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/ultrasound,7,1,00:00:58,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccination side effects,7,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine adverse event,7,3,00:00:08,1,0.00%,0.00%,$0.00
part1.csv:/search/Vaccine cancer,7,2,00:00:01,1,0.00%,28.57%,$0.00
part1.csv:/search/Vaccine infection,7,1,00:00:02,0,0.00%,14.29%,$0.00
part1.csv:/search/vaccine passports,7,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/Vaccine post,7,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccines children,7,2,00:00:37,0,0.00%,0.00%,$0.00
part1.csv:/search/vaxzevria,7,2,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/VTE,7,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/Wastewater agent,7,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/wazky,7,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/1059,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/ABT-199,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/antibodies in vaccinated persons,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/antigen,6,1,00:00:08,0,0.00%,16.67%,$0.00
part1.csv:/search/Azd1222 1.351,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/bats,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/booster AND elderly,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Clinical Characteristics of hospitalised patients,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/coronavirus response to weather changes,6,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/covid immunity duration,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/COVID-19 and ocular,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/COVID-19 AND screening,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/COVID-19 screening,6,2,00:00:37,0,0.00%,0.00%,$0.00
part1.csv:/search/COVID-19 variants,6,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Dichlorophen,6,1,00:00:17,0,0.00%,0.00%,$0.00
part1.csv:/search/Ebastine,6,1,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/erlangen,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/ethics,6,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/extra respiratory,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Extrapulmonary,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/eye and vaccines,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/furin,6,2,00:00:00,0,0.00%,33.33%,$0.00
part1.csv:/search/GS-441524,6,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/headache,6,1,00:00:02,0,0.00%,16.67%,$0.00
part1.csv:/search/immunity duration,6,1,00:00:12,0,0.00%,0.00%,$0.00
part1.csv:/search/Impfschutzdauer nach Impfung mit moderna,6,1,00:00:23,0,0.00%,0.00%,$0.00
part1.csv:/search/incubation period,6,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/Interpretation Antibody titer,6,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/interview,6,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/J&J,6,1,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/K11777,6,2,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/Lasalocid,6,1,00:00:21,0,0.00%,0.00%,$0.00
part1.csv:/search/long dovid,6,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Malik Peiris,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/mammals,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Mebendazole,6,1,00:00:19,0,0.00%,0.00%,$0.00
part1.csv:/search/mis-c,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/Mixing vaccines,6,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/Niclosamide,6,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/non health data,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Non pharmacological treatment,6,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/Nurse,6,1,00:00:26,0,0.00%,16.67%,$0.00
part1.csv:/search/Pereirra,6,2,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Placental pathology,6,1,00:00:46,0,0.00%,0.00%,$0.00
part1.csv:/search/Post covid aspirin,6,1,00:00:01,0,0.00%,16.67%,$0.00
part1.csv:/search/pregnant vaccination,6,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/rapid antigen asymptomatic,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/receptor,6,2,00:00:04,1,0.00%,16.67%,$0.00
part1.csv:/search/Risk factors oxygen,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Risk Factory oxygen,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/safety,6,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/sotrovimab,6,2,00:00:14,1,0.00%,16.67%,$0.00
part1.csv:/search/sputum cytology,6,2,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/synctyia drug,6,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/synctyia EWI-2,6,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/synctyia phosphatidyl,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/synctyia PS,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/synctyia spread,6,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/synctyia tetraspanin,6,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/test,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Thromboembolism,6,1,00:00:04,0,0.00%,0.00%,$0.00
part1.csv:/search/thyroditis and covid-19,6,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/tiredness,6,1,00:00:14,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine AND efficient,6,1,00:00:17,0,0.00%,0.00%,$0.00
part1.csv:/search/vaccine escape,6,2,00:00:06,0,0.00%,16.67%,$0.00
part1.csv:/search/vaccine sars-cov-2 variants,6,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Vietnam,6,2,00:00:03,0,0.00%,16.67%,$0.00
part1.csv:"/search/(""PF-07321332"" or Ritonavir or ""MK-4482"" or Molnupiravir or ""AT-527"" or ""RO7496998"") AND (""REGN10933"" or ""REGN10987"" or ""REGN-COV2"" or ""VIR-7831"" or sotrovimab or ""GSK4182136"" or ""VIR-7832"" or ""GSK4182137"" or ""AZD7442"" or tixagevimab or ""AZD8895"" or cilgavimab or ""AZD1061"" or ""CT-P59"" or regdanvimab or ""LY-CoV555"" or ""LY-CoV016"" or ""LY3819253"" or bamlanivimab or etesevimab or ""JS016"" or ""LY-CoV 1404"" or ""BRII-196"" or ""BRII-198"" or ""ADG20"")",5,2,00:00:00,1,0.00%,40.00%,$0.00
part1.csv:/search/22020,5,1,<00:00:01,0,0.00%,20.00%,$0.00
part1.csv:/search/ace2,5,1,00:00:15,0,0.00%,0.00%,$0.00
part1.csv:/search/anti-S1 IgG titers,5,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/Anticoagulantes y COVID-19,5,2,00:00:00,1,0.00%,40.00%,$0.00
part1.csv:/search/Antigen variant,5,1,00:00:00,0,0.00%,20.00%,$0.00
part1.csv:/search/asa prophyilaxis,5,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/Baric,5,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/brazil,5,2,00:00:16,0,0.00%,20.00%,$0.00
part1.csv:/search/Cause for co morbid patients risk in covid,5,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/chronic,5,1,00:00:16,0,0.00%,0.00%,$0.00
part1.csv:/search/chronic covid,5,1,00:00:07,0,0.00%,0.00%,$0.00
part1.csv:/search/cilia,5,1,00:00:11,0,0.00%,0.00%,$0.00
part1.csv:/search/ciliated,5,2,00:00:24,0,0.00%,0.00%,$0.00
part1.csv:/search/civid-19 in breast cancer,5,1,00:00:09,0,0.00%,0.00%,$0.00
part1.csv:/search/Cloperastine,5,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/comparing saliva and antigen,5,1,00:00:01,0,0.00%,20.00%,$0.00
part1.csv:/search/COVID and screeing,5,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/covid-19 vaccine,5,1,00:00:08,0,0.00%,20.00%,$0.00
part1.csv:/search/cutaneous reactions vaccine,5,1,00:00:02,0,0.00%,20.00%,$0.00
part1.csv:/search/Daunorubicin,5,2,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/dibetes,5,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/essential health services,5,1,00:00:14,0,0.00%,20.00%,$0.00
part1.csv:/search/ethical,5,1,00:00:05,0,0.00%,20.00%,$0.00
part1.csv:/search/Fine Particulate Matter,5,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/herd immunity,5,2,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/HIG,5,2,00:00:06,1,0.00%,20.00%,$0.00
part1.csv:/search/innate,5,2,00:00:06,0,0.00%,0.00%,$0.00
part1.csv:/search/intermediary host,5,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Jung adults,5,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/List of vaccin,5,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/long covid ibuprofen,5,2,00:00:05,1,0.00%,20.00%,$0.00
part1.csv:/search/long covid treatment,5,2,00:00:07,0,0.00%,20.00%,$0.00
part1.csv:/search/Long covid vaccine,5,1,<00:00:01,0,0.00%,20.00%,$0.00
part1.csv:/search/mandatory,5,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/mixed-methods,5,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/mombaerts,5,2,00:00:02,0,0.00%,20.00%,$0.00
part1.csv:/search/mRNA long term effects,5,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/mRNA vaccine for children,5,1,00:00:02,0,0.00%,20.00%,$0.00
part1.csv:/search/Nasal,5,1,00:00:01,0,0.00%,20.00%,$0.00
part1.csv:/search/natural immunity,5,2,00:00:00,1,0.00%,40.00%,$0.00
part1.csv:/search/natural immunity duration,5,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/nutraceutical,5,2,00:00:00,1,0.00%,40.00%,$0.00
part1.csv:/search/orf8,5,1,00:00:20,0,0.00%,0.00%,$0.00
part1.csv:/search/oxygen,5,1,00:06:18,0,0.00%,20.00%,$0.00
part1.csv:/search/Paediatric Long COVID,5,1,00:00:05,0,0.00%,0.00%,$0.00
part1.csv:/search/Rapid antigen test accuracy,5,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/respiratory long covid,5,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/RNA synthesis,5,1,00:01:42,0,0.00%,20.00%,$0.00
part1.csv:/search/Salinomycin,5,2,00:00:10,0,0.00%,0.00%,$0.00
part1.csv:/search/signorelli,5,2,00:00:00,1,0.00%,40.00%,$0.00
part1.csv:/search/sports equipment,5,1,00:00:03,0,0.00%,0.00%,$0.00
part1.csv:/search/STAT1,5,1,00:00:02,0,0.00%,0.00%,$0.00
part1.csv:/search/Statine long haul,5,1,00:00:01,0,0.00%,0.00%,$0.00
part1.csv:/search/stigma,5,1,00:00:08,0,0.00%,0.00%,$0.00
part1.csv:/search/switzerland,5,1,00:00:23,0,0.00%,20.00%,$0.00
